apple,positive,126415614616154112,"""@Twitter CEO points to @Apple as 'corporate mentor' as @iOS signups triple http://t.co/GCY8iphN"""
apple,positive,126404574230740992,'Not Bad! @Apple Sells Over 4 Million #IPhones in Debut Weekend - Bloomberg http://t.co/AVSl3ygU - #smartphone #sm RT @VinodRad'
apple,positive,126402758403305474,'@Apple downloads of iOS 5 are proving popular with users  -- http://t.co/NSHLfiUX'
apple,positive,126397179614068736,'One word - #wow. RT @jldavid iPhone 4S First Weekend Sales Top Four Million: http://t.co/Zx5Pw0GT (via @apple)'
apple,positive,126395626979196928,"'Come to the dark side 📱“@gretcheneclark: Hey @apple, if you send me a free iPhone, I will publicly and ceremoniously burn my #BlackBerry.”'"
apple,positive,126394830791254016,'At the bus with my iPhone ;) thxx @apple'
apple,positive,126379685453119488,'@apple @jilive @DanielPink: Apple sells 4 million iPhone 4S units in first weekend ... Steve Jobs brilliance lives on for ever! #iphone #RVA'
apple,positive,126377656416612353,"""RT @PhillipRowntree: Just registered as an @apple developer... Here's hoping I can actually do it... Any help, greatly appreciated!"""
apple,positive,126373779483004928,'Lmfao look at the argument I had with Siri !!\n@ijustine @apple http://t.co/D4VjL7SI'
apple,positive,126366353757179904,"'RT @TripLingo: We\'re one of a few ""Featured Education Apps"" on the @Apple **Website** today, sweet! http://t.co/0yWvbe1Z'"
apple,positive,126366123368267776,""".@apple you got me. I'm now invested. MacBook Pro next year. Time to get on selling more of my #android gear"""
apple,positive,126365858481188864,'Been off twitter for a few days as I smashed my iPhone but @apple were very nice and gave me a new one :)'
apple,positive,126360935509135362,'#sweet... #apple replaced my glass #probono. thank you @apple'
apple,positive,126360398885687296,'Great up close & personal event @Apple tonight in Regent St store!'
apple,positive,126358340220616704,"""When you want something done right, you do it yourself... or go to @Apple. AT&T you're useless these days. #yourdaysarenumbered\n\n\uf8ff\uf8ff\uf8ff"""
apple,positive,126357982685569024,'Is it just me or is #iOS5 faster for the iPad? @apple'
apple,positive,126354605130002432,"""Just registered as an @apple developer... Here's hoping I can actually do it... Any help, greatly appreciated!"""
apple,positive,126352268705538048,'i used to be with @blackberry over 4-5yrs .. after all the disruptions and lost gigs thx to their service im moving to @apple #iphone'
apple,positive,126350948548354048,"""@Wisconsin_Mommy @Apple I'd totally email the company... I always get great service at our @Apple store!"""
apple,positive,126350302113824769,"""I'm loving this new IOS5 update :) @apple"""
apple,positive,126349695676203009,'Once again getting great customer service from the @apple store at millenia mall.'
apple,positive,126344048637259776,"""Hilarious @youtube video - guy does a duet with @apple 's Siri. Pretty much sums up the love affair! http://t.co/8ExbnQjY"""
apple,positive,126342268603998208,"'@KostaTsetsekas @apple Putting it in the wash is kind of the equivalent to ""Will it blend?"" Glad to hear it\'s still alive.'"
apple,positive,126325800080392193,'Wow. Great deals on refurbed #iPad (first gen) models. RT: Apple offers great deals on refurbished 1st-gen iPads http://t.co/ukWOKBGd @Apple'
apple,positive,126324177501302784,"'#Siri now knows who my dad, mom, brother and girlfriend is.  Thanks @apple'"
apple,positive,126323785145126912,"'We\'re one of a few ""Featured Education Apps"" on the @Apple **Website** today, sweet! http://t.co/0yWvbe1Z'"
apple,positive,126322063332999169,'So yeah... @apple #iOS5 #readinglists have changed my life. #nowicanspendevenmoretimeonmyphone.'
apple,positive,126319186141130752,'I love @apple service . My case has cracked 3x and I go in and they hand me a case and I walk out'
apple,positive,126318009647235072,'Well at least the @apple store has amazing call waiting music! #need4s'
apple,positive,126315223060709376,"'Just apply for a job at @Apple, hope they call me lol'"
apple,positive,126315011600678913,'The 16 strangest things Siri has said so far. I am SOOO glad that @Apple gave Siri a sense of humor! http://t.co/TWAeUDBp via @HappyPlace'
apple,positive,126314687116750849,'From which companies do you experience the best customer service aside from @zappos and @apple?'
apple,positive,126312877916307458,'I just sent my grandma a post card using my #CardsApp thanks @Apple'
apple,positive,126311981564178432,"'loving new technology from @apple iPhone 4s, mac air and iCloud are unreal #technology'"
apple,positive,126307801046847488,'Play on ma man. Loving the camera in the #iphone4s. Well done @apple  #fb http://t.co/tmdFqRe1'
apple,positive,126302673820594176,"'God Bless @YouTube, @apple for  #appletv & our bad ass system. LOVING #PrincessOfChina. GB to @coldplay & @rihanna too :)'"
apple,positive,126301956951117826,'@bkad5161 than apologize to @apple ;)'
apple,positive,126287654093471745,'Said to have laid out the next 4 years @apple.Jobs last iPhone is 2012 not the iPhone4S. iPhone(4G/5) 2012 is magical! http://t.co/DxxklUBp'
apple,positive,126284506360578049,"'@azee1v1 @apple @umber AppStore is well done, so is iTunes on the mobile devices.  I was talking about desktop app.'"
apple,positive,126267185025916928,'Another mention for Apple Store: http://t.co/fiIOApKt - RT @floridamike Once again getting great customer service from the @apple store ...'
apple,positive,126263834968211456,'NYTimes: Coach Wants to See You. And Bring Your iPad. http://t.co/J2FTiEnG #iPad @apple set red 42 red 42 hut hut @NFL wish I had an #iPad'
